pdf_sha256,tabela_idx,linha_tabela,nome_pdf,url_fonte,sigla,pagina,texto,parse_flag,servico,produto,eixo_num,area
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,0,5,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,1,prices Públicas | dos usuários | enmncuo | Joe | amas |,sem_produto,prices Públicas | dos usuários | enmncuo | Joe | amas |,,1,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,0,11,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,1,E públicas federais | e dos usuários | mmamgam Serviços Digitais e Melhoria da Qualidade | Ju SGE | 5],sem_produto,E públicas federais | e dos usuários | mmamgam Serviços Digitais e Melhoria da Qualidade | Ju SGE | 5],,1,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,0,13,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,1,Solicitar Parcelamento Simplificado de Débitos | ua Integração à ferramenta de avaliação da satisfação E | ; . e | E,sem_produto,Solicitar Parcelamento Simplificado de Débitos | ua Integração à ferramenta de avaliação da satisfação E | ; . e | E,,1,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,1,0,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,2,"PPSI Ciclo 5 | Auto-avaliação, análise de lacunas e planejamento | | Segurança e Privacidade | jul-25",sem_produto,"PPSI Ciclo 5 | Auto-avaliação, análise de lacunas e planejamento | | Segurança e Privacidade | jul-25",,4,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,1,2,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,2,"PPSI Ciclo 6 | Auto-avaliação, análise de lacunas e planejamento | | Segurança e Privacidade | ES",sem_produto,"PPSI Ciclo 6 | Auto-avaliação, análise de lacunas e planejamento | | Segurança e Privacidade | ES",,4,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,1,4,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,2,"PPSI Ciclo 7 | Auto-avaliação, análise de lacunas e planejamento | | Segurança e Privacidade | juL-26",sem_produto,"PPSI Ciclo 7 | Auto-avaliação, análise de lacunas e planejamento | | Segurança e Privacidade | juL-26",,4,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,2,0,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,2,peestcio1 O | limpimentaçõodopes | Isegurançacpivacidado | soe | | cercas,sem_produto,peestcio1 O | limpimentaçõodopes | Isegurançacpivacidado | soe | | cercas,,4,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,2,1,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,2,[pPsiciioz O | |rustoravaliação análise delacunas eplanejamento | Segurançacprvacidade | | Ísoe | | jancda,sem_produto,[pPsiciioz O | |rustoravaliação análise delacunas eplanejamento | Segurançacprvacidade | | Ísoe | | jancda,,4,
362fd8ad5b7d825a1b9f2a9a3a00449047e21de942d042d587b11be5d30d4137,2,2,agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,AGU,2,ETeeeeoeeoeeoe— | o | O ooo | oo— | =,sem_produto,ETeeeeoeeoeeoe— | o | O ooo | oo— | =,,4,
2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,0,1,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,AGU,8,"traso ou indisponibilidade nas ações interoperabilidade que envolvem outros parceiros | defPouco provável | ransferir | 1,2,7,11e 14",sem_produto,"traso ou indisponibilidade nas ações interoperabilidade que envolvem outros parceiros | defPouco provável | ransferir | 1,2,7,11e 14",,2,
2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,0,2,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,AGU,8,e remnfo ão de Sistemas | fe,sem_produto,e remnfo ão de Sistemas | fe,,2,
2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,0,3,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,AGU,8,Risco de Conformidade com a LGPD Outras Normas de Segurança | elMédio | fe Alto | iti | que.,sem_produto,Risco de Conformidade com a LGPD Outras Normas de Segurança | elMédio | fe Alto | iti | que.,,4,
2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,0,4,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,AGU,8,Resiliência da Infraestrutura Sc | Baixo | Médio,sem_produto,Resiliência da Infraestrutura Sc | Baixo | Médio,,4,
2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,0,5,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,AGU,8,A | GS 13.,sem_produto,A | GS 13.,,4,
2cea12f35e0c5420cc333911f783d0b73acb340b17c3c001914cb2c56a2aff2c,0,7,agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/agu_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,AGU,8,"Orçamento Insuficiente ou Repasse | deMédio | Alto | Mitigar | 1,3,5,7 0 13",sem_produto,"Orçamento Insuficiente ou Repasse | deMédio | Alto | Mitigar | 1,3,5,7 0 13",,4,
